Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target;total_units_enrolled;total_units_approved;total_evaluations;approval_ratio;avg_grade_per_eval
4;7;1;9147;1;3;-0.20013487663717247;1;19;1;5;5;0.2173538663528918;0;0;0;1;0;0;1.5883375322407687;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.1735562584516553;-0.461348594831862;0.8847842335788135;0;-0.523996560935597;-1.5468894074539963;-0.8144448665299414;-1.8795828717725114;-1.762073032882636
1;39;1;9085;1;1;-0.20013487663717247;1;37;37;6;6;-1.1635191845812844;0;0;0;1;0;1;0.24183091445700974;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.1735562584516553;-0.461348594831862;0.8847842335788135;1;-0.08771286980488824;-0.6989538396308661;1.3938315995136332;-0.7292131434530075;-0.578712778691819
1;1;6;9070;1;6;-1.0310739151184924;1;1;1;9;9;-0.2521429709647279;1;0;0;1;1;0;-0.16212107087811795;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.28596760520502323;0.11873318412979707;0.7615970351027347;2;-0.08771286980488824;0.488155955321516;-0.29485040393145323;0.8813044761942977;0.995578988044178
2;39;1;9238;1;19;0.03403885238938091;1;37;37;9;4;-1.6123029261348916;0;0;0;1;1;0;2.5308921646894;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;1.4751434939310806;1.1338762973127003;-1.790137790473184;0;-0.08771286980488824;-1.5468894074539963;-2.1134310230261617;-1.8795828717725114;-1.762073032882636
1;1;3;9500;1;1;0.7063440744333584;1;37;38;9;9;0.7213725299438669;1;0;0;1;0;1;-0.16212107087811795;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-1.485021970574286;0.9888558525722859;0.13686195711690624;2;0.34857082132582046;0.488155955321516;-0.29485040393145323;0.4868919979133249;0.9964058702093738
1;44;1;9085;1;39;0.5552642492549366;1;1;19;4;4;0.9077903918199799;0;0;0;1;0;0;-0.29677173265649387;0;0.5787485026442608;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;0.8756163112464496;-1.1139405961637285;0.34364046884461;2;-0.08771286980488824;0.488155955321516;0.22474405866703487;0.8813044761942977;0.19120639290127442
1;17;2;9238;1;1;-1.333233565475336;1;19;38;7;8;-0.7216398082823476;1;0;0;1;0;0;-0.29677173265649387;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;1.7374366363556064;-0.6788792619424842;-0.40868135042001436;2;-0.08771286980488824;0.488155955321516;0.22474405866703487;0.8813044761942977;0.14113408400888355
1;17;1;9119;1;1;-0.12459496404796157;1;1;3;9;10;-0.21762114469137347;1;0;0;1;1;0;-0.43142239443486974;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.28596760520502323;0.11873318412979707;0.7615970351027347;1;-0.523996560935597;-0.5293667260662401;-0.1649517882818312;-0.22305046299242595;0.5068916284136693
1;7;1;8014;0;3;0.5552642492549366;1;37;12;9;4;0.9077903918199799;0;0;0;0;0;0;0.37648157623538564;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.8105538900540756;-1.4764917080147653;-1.3765807670177768;0;-0.523996560935597;-1.5468894074539963;0.3546426743166569;-1.8795828717725114;-1.762073032882636
1;1;1;9147;1;1;2.0660625010391547;1;1;38;4;7;1.0113558706400432;1;0;0;1;1;0;-0.7007237179916215;0;-0.30049208583311166;1.2792939180037133;-0.28237457860907195;-0.19615613074530197;-0.8105538900540756;-1.4764917080147653;-1.3765807670177768;0;-0.523996560935597;-0.6989538396308661;0.614439905615901;-0.4991391977891068;-0.22958475338707518
1;43;1;9773;1;1;-0.8044541773508598;1;1;1;4;5;0.003318543458094894;0;0;0;1;0;0;-0.29677173265649387;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-1.485021970574286;0.9888558525722859;0.13686195711690624;2;-0.08771286980488824;0.488155955321516;-0.1649517882818312;0.8813044761942977;0.4341259978764703
1;18;1;9500;1;1;-0.5022945269940161;1;38;37;5;5;-0.8321096523570822;1;0;0;1;0;0;-0.43142239443486974;0;-0.30049208583311166;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.28596760520502323;0.11873318412979707;0.7615970351027347;2;0.7848545124565292;0.8273301824507681;-0.03505317263220919;0.5361935576984466;0.7389147639675115
1;39;1;9238;1;1;2.0660625010391547;1;38;1;9;3;-0.19690804892736105;0;0;1;1;1;0;0.6457828997921374;0;0.5787485026442608;-0.1944759959986114;-0.28237457860907195;-0.19615613074530197;-0.28596760520502323;0.11873318412979707;0.7615970351027347;1;0.34857082132582046;-0.19019249893698806;2.0433246777617433;-0.3019329586486205;-0.8504354457546561
1;43;2;9500;1;1;0.25310459889809295;1;19;1;9;10;-0.19000368367269055;0;0;0;1;1;1;-0.29677173265649387;0;-0.30049208583311166;11.595683316019986;-0.28237457860907195;10.629521010894054;-0.8105538900540756;-1.4764917080147653;-1.3765807670177768;1;0.7848545124565292;-1.5468894074539963;-0.03505317263220919;-1.8795828717725114;-1.762073032882636
1;53;1;9085;1;42;1.3106633751470458;1;1;1;9;4;1.598226917287068;1;0;0;1;1;1;-0.16212107087811795;0;0.1391282084055746;-0.1944759959986114;1.8701803674275586;-0.19615613074530197;-0.9979061346430229;0.11873318412979707;1.5403161111836616;0;0.5667126668911748;0.148981728192264;1.1340343682143892;-0.038991306461305386;-0.2636302484020555
