Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target;total_units_enrolled;total_units_approved;total_evaluations;approval_ratio;avg_grade_per_eval
4;7;1;9147;1;3;0.368421052631579;1;19;1;5;5;0.368421052631579;0;0;0;1;0;0;0.33962264150943394;0;0.0;0.0;0.0;0.0;0.40697674418604646;0.3111111111111111;0.8031704095112285;0;0.21739130434782608;0.0;0.1388888888888889;0.0;0.0
1;39;1;9085;1;1;0.368421052631579;1;37;37;6;6;0.1578947368421053;0;0;0;1;0;1;0.15094339622641512;0;0.0;0.0;0.0;0.0;0.40697674418604646;0.3111111111111111;0.8031704095112285;1;0.2608695652173913;0.11627906976744186;0.375;0.4166666666666667;0.1362962962962963
1;1;6;9070;1;6;0.2526315789473683;1;1;1;9;9;0.2968421052631578;1;0;0;1;1;0;0.09433962264150941;0;0.0;0.0;0.0;0.0;0.37209302325581406;0.4888888888888888;0.7661822985468957;2;0.2608695652173913;0.27906976744186046;0.19444444444444442;1.0;0.3176190476190476
2;39;1;9238;1;19;0.4010526315789473;1;37;37;9;4;0.08947368421052637;0;0;0;1;1;0;0.4716981132075471;0;0.0;0.0;0.0;0.0;0.9186046511627907;0.7999999999999999;0.0;0;0.2608695652173913;0.0;0.0;0.0;0.0
1;1;3;9500;1;1;0.49473684210526314;1;37;38;9;9;0.445263157894737;1;0;0;1;0;1;0.09433962264150941;0;0.0;0.0;0.0;0.0;0.0;0.7555555555555555;0.5785997357992074;2;0.30434782608695654;0.27906976744186046;0.19444444444444442;0.8571428571428571;0.3177142857142857
1;44;1;9085;1;39;0.4736842105263157;1;1;19;4;4;0.4736842105263157;0;0;0;1;0;0;0.07547169811320753;0;0.1;0.0;0.0;0.0;0.7325581395348838;0.11111111111111112;0.6406869220607662;2;0.2608695652173913;0.27906976744186046;0.25;1.0;0.22497354497354496
1;17;2;9238;1;1;0.21052631578947367;1;19;38;7;8;0.22526315789473683;1;0;0;1;0;0;0.07547169811320753;0;0.0;0.0;0.0;0.0;0.9999999999999999;0.24444444444444446;0.4147952443857331;2;0.2608695652173913;0.27906976744186046;0.25;1.0;0.2192063492063492
1;17;1;9119;1;1;0.3789473684210527;1;1;3;9;10;0.30210526315789465;1;0;0;1;1;0;0.05660377358490565;0;0.0;0.0;0.0;0.0;0.37209302325581406;0.4888888888888888;0.7661822985468957;1;0.21739130434782608;0.13953488372093023;0.20833333333333331;0.6;0.2613333333333333
1;7;1;8014;0;3;0.4736842105263157;1;37;12;9;4;0.4736842105263157;0;0;0;0;0;0;0.169811320754717;0;0.0;0.0;0.0;0.0;0.2093023255813954;0.0;0.12417437252311753;0;0.21739130434782608;0.0;0.2638888888888889;0.0;0.0
1;1;1;9147;1;1;0.6842105263157894;1;1;38;4;7;0.4894736842105263;1;0;0;1;1;0;0.018867924528301883;0;0.0;0.08333333333333333;0.0;0.0;0.2093023255813954;0.0;0.12417437252311753;0;0.21739130434782608;0.11627906976744186;0.29166666666666663;0.5;0.17650793650793647
